Word,POS,Lemma
بم,NN,بم
نامی,PN,نامی
عشق,PN,عشق
کنٹرول,NN,کنٹرول
ہيں,AA,ہے
سری,PN,سری
سمندر,NN,سمندر
یونیورسٹی,NN,یونیورسٹی
اشارہ,NN,اشارہ
بک,NN,بک
شمالی,ADJ,شمالی
ناکام,ADJ,ناکام
دریا,NN,دریا
عوامی,ADJ,عوامی
مضبوط,ADJ,مضبوط
کیلئے,AA,کیلئے
جتنا,Q,جتنا
بابا,NN,بابا
جتنی,Q,جتنا
کمرے,NN,کمرا
نکلا,VB,نکل
وزیراعظم,NN,وزیراعظم
مقرر,ADJ,مقرر
اطلاعات,NN,اطلاع
کہتی,VB,كہہ
واحد,ADJ,واحد
شرکت,NN,شرکت
ماحول,NN,ماحول
مصر,PN,مصر
ابتدائی,ADJ,ابتدا
قانونی,ADJ,قانون
نکلے,VB,نکل
قلم,NN,قلم
کمزور,ADJ,کمزور
سسٹم,NN,سسٹم
کان,NN,کان
لوٹ,VB,لوٹ
امداد,NN,مدد
حرام,NN,حرام
عبادت,NN,عبادت
جرم,NN,جرم
سنگھ,PN,سنگھ
علاقہ,NN,علاقہ
برطانیہ,PN,برطانیہ
علمی,ADJ,علم
س,CA,س
راست,NN,راست
ِ,CA,ِ
عشق,NN,عشق
گروہ,NN,گروہ
اسکور,NN,اسکور
آئندہ,ADJ,آئندہ
کروا,VB,کر
قید,NN,قید
چیزوں,NN,چيز
انتظامیہ,NN,انتظامیہ
دودھ,NN,دودھ
بٹ,VB,بٹ
ہوگئے,AA,ہوگیا
نوٹ,NN,نوٹ
امی,NN,امی
دلچسپ,ADJ,دلچسپ
جے,PN,جے
داد,NN,داد
کھڑا,ADJ,کھڑا
x,EXP,x
بچپن,NN,بچپن
خرچ,NN,خرچ
جہاز,NN,جہاز
تربیت,NN,تربیت
پور,PN,پور
پریشان,ADJ,پریشان
پڑھی,VB,پڑھ
داخلہ,NN,داخلہ
یار,NN,یار
کانفرنس,NN,کانفرنس
خفیہ,ADJ,خفیہ
